activity_year,lei,derived_msa-md,state_code,county_code,census_tract,conforming_loan_limit,derived_loan_product_type,derived_dwelling_category,derived_ethnicity,derived_race,derived_sex,action_taken,purchaser_type,preapproval,loan_type,loan_purpose,lien_status,reverse_mortgage,open-end_line_of_credit,business_or_commercial_purpose,loan_amount,loan_to_value_ratio,interest_rate,rate_spread,hoepa_status,total_loan_costs,total_points_and_fees,origination_charges,discount_points,lender_credits,loan_term,prepayment_penalty_term,intro_rate_period,negative_amortization,interest_only_payment,balloon_payment,other_nonamortizing_features,property_value,construction_method,occupancy_type,manufactured_home_secured_property_type,manufactured_home_land_property_interest,total_units,multifamily_affordable_units,income,debt_to_income_ratio,applicant_credit_score_type,co-applicant_credit_score_type,applicant_ethnicity-1,applicant_ethnicity-2,applicant_ethnicity-3,applicant_ethnicity-4,applicant_ethnicity-5,co-applicant_ethnicity-1,co-applicant_ethnicity-2,co-applicant_ethnicity-3,co-applicant_ethnicity-4,co-applicant_ethnicity-5,applicant_ethnicity_observed,co-applicant_ethnicity_observed,applicant_race-1,applicant_race-2,applicant_race-3,applicant_race-4,applicant_race-5,co-applicant_race-1,co-applicant_race-2,co-applicant_race-3,co-applicant_race-4,co-applicant_race-5,applicant_race_observed,co-applicant_race_observed,applicant_sex,co-applicant_sex,applicant_sex_observed,co-applicant_sex_observed,applicant_age,co-applicant_age,applicant_age_above_62,co-applicant_age_above_62,submission_of_application,initially_payable_to_institution,aus-1,aus-2,aus-3,aus-4,aus-5,denial_reason-1,denial_reason-2,denial_reason-3,denial_reason-4,tract_population,tract_minority_population_percent,ffiec_msa_md_median_family_income,tract_to_msa_income_percentage,tract_owner_occupied_units,tract_one_to_four_family_homes,tract_median_age_of_housing_units
2022,549300ZGZ9WQMJLEPH17,15380,NY,36029,36029013201,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,1,6,2,1,1,1,2,2,2,565000.0,80.0,5.125,0.084,2,19809.73,NA,16370.78,10671.54,5699.24,360,NA,NA,2,2,2,2,715000,1,1,3,5,1,NA,236,20%-<30%,1,10,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,1,5,2,4,45-54,9999,No,NA,1,1,2,,,,,10,,,,6236,8.76,87700,111,1852,2278,45
2022,549300ZGZ9WQMJLEPH17,40380,NY,36055,36055011209,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,1,6,2,1,1,1,2,2,2,145000.0,80.0,4.75,0.378,2,3433.95,NA,1400.0,,,360,NA,NA,2,2,2,2,185000,1,1,3,5,1,NA,68,49,1,10,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,1,5,2,4,25-34,9999,No,NA,1,1,2,,,,,10,,,,4127,18.2,91200,83,1089,1670,30
2022,549300ZGZ9WQMJLEPH17,15380,NY,36029,36029012904,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,71,2,1,1,1,2,2,2,165000.0,97.0,3.375,0.599,2,3417.95,NA,1400.0,,,360,NA,NA,2,2,2,2,175000,1,1,3,5,1,NA,80,20%-<30%,1,9,2,,,,,2,,,,,2,2,5,,,,,5,,,,,2,2,1,2,2,2,25-34,25-34,No,No,1,1,2,,,,,10,,,,4133,12.85,87700,82,1122,1411,55
2022,549300ZGZ9WQMJLEPH17,15380,NY,36029,36029013400,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,3,0,2,2,1,1,2,2,2,225000.0,85.0,NA,NA,3,NA,NA,NA,NA,NA,360,NA,NA,2,2,2,2,265000,1,1,3,5,1,NA,72,46,2,10,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,2,5,2,4,45-54,9999,No,NA,1,1,3,,,,,7,,,,6594,7.31,87700,159,2116,2700,67
2022,549300ZGZ9WQMJLEPH17,40380,NY,36055,36055014003,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,1,6,2,1,1,1,2,2,2,195000.0,95.0,5.25,0.316,2,3468.95,NA,1400.0,,,360,NA,NA,2,2,2,2,205000,1,1,3,5,1,NA,65,40,2,10,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,1,5,2,4,25-34,9999,No,NA,1,1,2,,,,,10,,,,4641,27.41,91200,94,1431,1596,60
2022,549300ZGZ9WQMJLEPH17,13780,NY,36007,36007013304,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,6,2,1,1,1,2,2,2,285000.0,94.99,3.0,0.1,2,4278.95,NA,1400.0,,,360,NA,NA,2,2,2,2,305000,1,1,3,5,1,NA,190,30%-<36%,2,9,2,,,,,2,,,,,2,2,5,,,,,5,,,,,2,2,1,2,2,2,45-54,35-44,No,No,1,1,2,,,,,10,,,,5951,12.6,76400,162,1968,2469,41
2022,549300ZGZ9WQMJLEPH17,40380,NY,36055,36055010100,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Female,1,6,2,1,1,1,2,2,2,135000.0,80.0,3.375,0.371,2,3369.95,NA,1400.0,,,360,NA,NA,2,2,2,2,175000,1,1,3,5,1,NA,78,38,1,10,3,,,,,5,,,,,2,4,6,,,,,8,,,,,2,4,2,5,2,4,25-34,9999,No,NA,1,1,2,,,,,10,,,,3555,15.44,91200,102,1271,1480,66
2022,549300ZGZ9WQMJLEPH17,15380,NY,36063,36063020700,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Joint,Joint,1,6,2,1,1,1,2,2,2,85000.0,67.97,3.125,0.157,2,3077.95,NA,1400.0,,,360,NA,NA,2,2,2,2,125000,1,1,3,5,1,NA,56,30%-<36%,1,9,2,,,,,2,,,,,2,2,3,,,,,5,,,,,2,2,2,1,2,2,45-54,55-64,No,No,1,1,2,,,,,10,,,,2650,51.74,87700,88,794,1312,0
2022,549300ZGZ9WQMJLEPH17,15380,NY,36029,36029015101,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,6,2,1,32,1,2,2,2,175000.0,63.57,4.0,0.951,2,3130.95,NA,1400.0,,,360,NA,NA,2,2,2,2,285000,1,1,3,5,1,NA,134,20%-<30%,3,9,2,,,,,2,,,,,2,2,5,,,,,5,,,,,2,2,1,2,2,2,35-44,35-44,No,No,1,1,2,,,,,10,,,,3121,4.87,87700,110,1160,1440,57
2022,549300ZGZ9WQMJLEPH17,46540,NY,36065,36065026200,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,6,2,1,1,1,2,2,2,385000.0,80.0,4.0,0.298,2,4347.95,NA,1400.0,,,360,NA,NA,2,2,2,2,475000,1,1,3,5,1,NA,152,20%-<30%,1,9,2,,,,,2,,,,,2,2,5,,,,,5,,,,,2,2,1,2,2,2,25-34,25-34,No,No,1,1,2,,,,,10,,,,6625,11.02,82400,130,2159,2399,44
